filepath,label,subject_id,source_file,split
features/mel_dd_subjectwise/9hXEs9OejdVxG6JJGCyKQpqVvy43/short/breathing-shallow.npy,short,9hXEs9OejdVxG6JJGCyKQpqVvy43,breathing-shallow.wav,train
features/mel_dd_subjectwise/9hXEs9OejdVxG6JJGCyKQpqVvy43/long/breathing-deep.npy,long,9hXEs9OejdVxG6JJGCyKQpqVvy43,breathing-deep.wav,train
features/mel_dd_subjectwise/o5T5M7lfD0aUpgHcFprqdICYcgd2/short/breathing-shallow.npy,short,o5T5M7lfD0aUpgHcFprqdICYcgd2,breathing-shallow.wav,train
features/mel_dd_subjectwise/o5T5M7lfD0aUpgHcFprqdICYcgd2/long/breathing-deep.npy,long,o5T5M7lfD0aUpgHcFprqdICYcgd2,breathing-deep.wav,train
features/mel_dd_subjectwise/ZPup16g7iWhU8qGhXNlgpgiN7ow2/short/breathing-shallow.npy,short,ZPup16g7iWhU8qGhXNlgpgiN7ow2,breathing-shallow.wav,train
features/mel_dd_subjectwise/ZPup16g7iWhU8qGhXNlgpgiN7ow2/long/breathing-deep.npy,long,ZPup16g7iWhU8qGhXNlgpgiN7ow2,breathing-deep.wav,train
features/mel_dd_subjectwise/AutXsDVtEcVH9ZQ58NqDunDcqZv1/short/breathing-shallow.npy,short,AutXsDVtEcVH9ZQ58NqDunDcqZv1,breathing-shallow.wav,train
features/mel_dd_subjectwise/AutXsDVtEcVH9ZQ58NqDunDcqZv1/long/breathing-deep.npy,long,AutXsDVtEcVH9ZQ58NqDunDcqZv1,breathing-deep.wav,train
features/mel_dd_subjectwise/RDvP61T75eMxewvhinz2XYm7cYY2/short/breathing-shallow.npy,short,RDvP61T75eMxewvhinz2XYm7cYY2,breathing-shallow.wav,train
features/mel_dd_subjectwise/RDvP61T75eMxewvhinz2XYm7cYY2/long/breathing-deep.npy,long,RDvP61T75eMxewvhinz2XYm7cYY2,breathing-deep.wav,train
features/mel_dd_subjectwise/PSMPpfYMQ0MPLFeOAbb43DrmiNm2/short/breathing-shallow.npy,short,PSMPpfYMQ0MPLFeOAbb43DrmiNm2,breathing-shallow.wav,test
features/mel_dd_subjectwise/PSMPpfYMQ0MPLFeOAbb43DrmiNm2/long/breathing-deep.npy,long,PSMPpfYMQ0MPLFeOAbb43DrmiNm2,breathing-deep.wav,test
