filepath,start_ms,end_ms,label,source_file,source_dir
data_std/coswara/shallow/20200413_w1TDsR75t5PsGyAksqF3kMQ6DXT2_shallow.wav,0,-1,short,20200413_w1TDsR75t5PsGyAksqF3kMQ6DXT2_shallow.wav,shallow
data_std/coswara/shallow/20200413_EqDWckxbsETyHUeBLQ8jLtxlhir2_shallow.wav,0,-1,short,20200413_EqDWckxbsETyHUeBLQ8jLtxlhir2_shallow.wav,shallow
data_std/coswara/shallow/20200415_3LCqXTY14jROmsMpG3XkEiMJ9cD3_shallow.wav,0,-1,short,20200415_3LCqXTY14jROmsMpG3XkEiMJ9cD3_shallow.wav,shallow
data_std/coswara/shallow/20200413_tOlOwYDEHCRx1QegeMOPaydVcgv1_shallow.wav,0,-1,short,20200413_tOlOwYDEHCRx1QegeMOPaydVcgv1_shallow.wav,shallow
data_std/coswara/shallow/20200415_j0q8isyOE2akw5RDUOV9whSwNDW2_shallow.wav,0,-1,short,20200415_j0q8isyOE2akw5RDUOV9whSwNDW2_shallow.wav,shallow
data_std/coswara/shallow/20200415_1pXSBzMeizcu5IpLAJUaYpmJyhB3_shallow.wav,0,-1,short,20200415_1pXSBzMeizcu5IpLAJUaYpmJyhB3_shallow.wav,shallow
data_std/coswara/shallow/20200415_85XodgEaKrPebeSPsJo2UFaDlWj1_shallow.wav,0,-1,short,20200415_85XodgEaKrPebeSPsJo2UFaDlWj1_shallow.wav,shallow
data_std/coswara/shallow/20200415_NBD8pzxLyyYZs8wul5W6UUKBZbz1_shallow.wav,0,-1,short,20200415_NBD8pzxLyyYZs8wul5W6UUKBZbz1_shallow.wav,shallow
data_std/coswara/shallow/20200413_cfZUmZvsecYVKw5eSi4qIhfJVpI3_shallow.wav,0,-1,short,20200413_cfZUmZvsecYVKw5eSi4qIhfJVpI3_shallow.wav,shallow
data_std/coswara/shallow/20200413_9D1go0wkvuPkFebFk4uQQpcBuZw1_shallow.wav,0,-1,short,20200413_9D1go0wkvuPkFebFk4uQQpcBuZw1_shallow.wav,shallow
data_std/coswara/shallow/20200415_AdRRprqo5ZUuLMOPs61ZKS6vrdU2_shallow.wav,0,-1,short,20200415_AdRRprqo5ZUuLMOPs61ZKS6vrdU2_shallow.wav,shallow
data_std/coswara/shallow/20200415_GKhkkTlN0PdIgHoEtwXlRlCqMd13_shallow.wav,0,-1,short,20200415_GKhkkTlN0PdIgHoEtwXlRlCqMd13_shallow.wav,shallow
data_std/coswara/shallow/20200415_SiEdfz3YnndtOTlm8CIVK4YQcg42_shallow.wav,0,-1,short,20200415_SiEdfz3YnndtOTlm8CIVK4YQcg42_shallow.wav,shallow
data_std/coswara/shallow/20200413_pW9mCAeWYiMoM7wW7riLvNRbYDO2_shallow.wav,0,-1,short,20200413_pW9mCAeWYiMoM7wW7riLvNRbYDO2_shallow.wav,shallow
data_std/coswara/shallow/20200415_g1nDdvDWgDhgbVDyfl6NyFIfPAp2_shallow.wav,0,-1,short,20200415_g1nDdvDWgDhgbVDyfl6NyFIfPAp2_shallow.wav,shallow
data_std/coswara/shallow/20200415_UJkJrzKjH6UQRZF7eHhUQVQwCHB2_shallow.wav,0,-1,short,20200415_UJkJrzKjH6UQRZF7eHhUQVQwCHB2_shallow.wav,shallow
data_std/coswara/shallow/20200415_26xevAvhh4PSIz1ls0QAwwfz89i1_shallow.wav,0,-1,short,20200415_26xevAvhh4PSIz1ls0QAwwfz89i1_shallow.wav,shallow
data_std/coswara/shallow/20200415_Qs7OP1Hyo6Y4ZE2s4aZyZ3Ew6r62_shallow.wav,0,-1,short,20200415_Qs7OP1Hyo6Y4ZE2s4aZyZ3Ew6r62_shallow.wav,shallow
data_std/coswara/shallow/20200415_hkbGDo0CbGUStRblqwQj7KJc5lk2_shallow.wav,0,-1,short,20200415_hkbGDo0CbGUStRblqwQj7KJc5lk2_shallow.wav,shallow
data_std/coswara/shallow/20200415_1kj3twlB9PcVyePxzqNGwnkYZZx2_shallow.wav,0,-1,short,20200415_1kj3twlB9PcVyePxzqNGwnkYZZx2_shallow.wav,shallow
data_std/coswara/shallow/20200413_KGWBaTNrJmUgzGZw5Xh2ICSHVu92_shallow.wav,0,-1,short,20200413_KGWBaTNrJmUgzGZw5Xh2ICSHVu92_shallow.wav,shallow
data_std/coswara/shallow/20200413_vK2bLRNzllXNeyOMudnNSL5cfpG2_shallow.wav,0,-1,short,20200413_vK2bLRNzllXNeyOMudnNSL5cfpG2_shallow.wav,shallow
data_std/coswara/shallow/20200415_95XA3QmnULQ1KPlcdw4RDDKnBhH2_shallow.wav,0,-1,short,20200415_95XA3QmnULQ1KPlcdw4RDDKnBhH2_shallow.wav,shallow
data_std/coswara/shallow/20200413_O4BFgxvAgwbwRGZMkMBJRFnGBbd2_shallow.wav,0,-1,short,20200413_O4BFgxvAgwbwRGZMkMBJRFnGBbd2_shallow.wav,shallow
data_std/coswara/shallow/20200415_FNjPKyX47sUuQlzMc1urJ3VB3YE3_shallow.wav,0,-1,short,20200415_FNjPKyX47sUuQlzMc1urJ3VB3YE3_shallow.wav,shallow
data_std/coswara/shallow/20200415_l6OFgjiE4MT6I6wfoYHk208nEaJ3_shallow.wav,0,-1,short,20200415_l6OFgjiE4MT6I6wfoYHk208nEaJ3_shallow.wav,shallow
data_std/coswara/shallow/20200413_6MmSmB1lmmOiyKNNA0p7IuVe3CA3_shallow.wav,0,-1,short,20200413_6MmSmB1lmmOiyKNNA0p7IuVe3CA3_shallow.wav,shallow
data_std/coswara/shallow/20200415_9LGZxIxgbgSheKov7FzsNcFIu4v1_shallow.wav,0,-1,short,20200415_9LGZxIxgbgSheKov7FzsNcFIu4v1_shallow.wav,shallow
data_std/coswara/shallow/20200415_y71bldtMZsh4Qemwyr86rXevPcH2_shallow.wav,0,-1,short,20200415_y71bldtMZsh4Qemwyr86rXevPcH2_shallow.wav,shallow
data_std/coswara/shallow/20200413_LqGeCxef4fN4IPanKEbWkO1fAwJ3_shallow.wav,0,-1,short,20200413_LqGeCxef4fN4IPanKEbWkO1fAwJ3_shallow.wav,shallow
data_std/coswara/shallow/20200415_jSb7SyucSmTHhzs3qQoBExRMQZ02_shallow.wav,0,-1,short,20200415_jSb7SyucSmTHhzs3qQoBExRMQZ02_shallow.wav,shallow
data_std/coswara/shallow/20200415_LVfs0kH8h3YRSg7J3Y8g3ufC3a53_shallow.wav,0,-1,short,20200415_LVfs0kH8h3YRSg7J3Y8g3ufC3a53_shallow.wav,shallow
data_std/coswara/shallow/20200415_5eEXozx61BXKT71PLRaQASRcC832_shallow.wav,0,-1,short,20200415_5eEXozx61BXKT71PLRaQASRcC832_shallow.wav,shallow
data_std/coswara/shallow/20200415_TIFqRMyFsNVEYSMu9P05PF5N2Px1_shallow.wav,0,-1,short,20200415_TIFqRMyFsNVEYSMu9P05PF5N2Px1_shallow.wav,shallow
data_std/coswara/shallow/20200415_zNNcSmfHhTbjLm5NcVmrOAf5C2j2_shallow.wav,0,-1,short,20200415_zNNcSmfHhTbjLm5NcVmrOAf5C2j2_shallow.wav,shallow
